time,precipitation_sum,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,wind_speed_10m_max,pressure_msl_mean,target
2004-01-01,0.1,-0.3,-2.2,89,13.8,1017.0,1
2004-01-02,2.3,-0.1,-2.4,83,13.8,1011.0,1
2004-01-03,3.5,-1.3,-7.9,85,17.1,1012.2,1
2004-01-04,0.0,-8.3,-11.8,84,15.2,1016.7,0
2004-01-05,0.0,-10.5,-12.5,86,11.2,1017.2,0
2004-01-06,0.0,-10.0,-12.4,84,19.4,1019.7,0
2004-01-07,1.1,-9.7,-12.8,85,19.6,1020.8,1
2004-01-08,4.1,-7.3,-11.7,88,17.7,1020.3,1
2004-01-09,0.0,-7.0,-8.3,91,11.5,1018.8,0
2004-01-10,0.0,-2.3,-7.5,87,20.2,1014.5,0
2004-01-11,0.0,0.5,-2.4,92,17.4,1019.6,0
2004-01-12,0.0,-1.6,-3.2,93,19.7,1016.1,0
2004-01-13,1.6,-1.5,-3.4,91,18.9,1006.5,1
2004-01-14,4.6,1.9,-1.4,93,26.4,994.9,1
2004-01-15,0.0,2.0,-1.3,87,20.2,996.3,0
2004-01-16,0.2,-0.8,-4.8,90,16.8,1003.2,1
2004-01-17,0.0,0.5,-2.6,79,22.7,1007.8,0
2004-01-18,9.8,0.4,-1.0,89,23.2,1007.0,1
2004-01-19,0.0,-0.9,-6.2,85,23.5,1017.5,0
2004-01-20,1.1,-0.6,-6.3,87,19.2,1003.3,1
2004-01-21,1.4,-2.0,-6.6,91,18.7,999.4,1
2004-01-22,0.0,-7.1,-12.8,82,18.1,1011.3,0
2004-01-23,3.5,-8.5,-12.4,84,29.5,1012.8,1
2004-01-24,0.6,-5.9,-8.4,88,25.0,1012.5,1
2004-01-25,0.4,-2.0,-5.8,94,7.6,1016.9,1
2004-01-26,0.4,-2.3,-6.5,92,11.2,1017.9,1
2004-01-27,0.0,-2.4,-4.8,91,12.0,1011.9,0
2004-01-28,3.9,0.5,-6.4,91,23.7,1007.1,1
2004-01-29,6.4,2.1,-2.1,94,17.6,1000.2,1
2004-01-30,0.7,-2.6,-9.6,90,14.8,1012.8,1
2004-01-31,0.0,-4.6,-12.4,84,16.4,1023.6,0
2004-02-01,1.1,-2.8,-10.7,86,18.6,1020.0,1
2004-02-02,4.0,-1.4,-3.1,91,19.1,1016.4,1
2004-02-03,0.1,-2.5,-5.7,90,14.8,1024.8,1
2004-02-04,4.8,-0.2,-6.5,90,20.1,1025.9,1
2004-02-05,5.6,5.9,0.2,96,30.6,1008.3,1
2004-02-06,2.7,5.3,3.7,90,30.6,1007.3,1
2004-02-07,2.3,8.9,3.4,83,29.5,1003.9,1
2004-02-08,0.4,6.7,0.3,80,30.2,1003.2,1
2004-02-09,0.6,3.5,-0.8,83,19.5,1002.6,1
2004-02-10,0.8,-0.3,-4.7,62,35.5,1008.2,1
2004-02-11,2.4,-2.5,-10.6,67,24.1,1007.9,1
2004-02-12,0.0,-10.7,-12.5,58,24.1,1016.9,0
2004-02-13,0.7,-10.4,-13.4,66,21.8,1020.1,1
2004-02-14,1.4,-8.2,-13.2,77,23.9,1013.5,1
2004-02-15,1.0,-4.4,-10.2,83,15.9,1009.8,1
2004-02-16,0.0,-1.7,-5.2,84,16.2,1014.4,0
2004-02-17,0.0,-0.2,-3.9,81,22.2,1017.8,0
2004-02-18,2.0,2.5,-2.8,86,21.8,1009.4,1
2004-02-19,1.7,0.3,-10.1,86,25.1,1011.8,1
2004-02-20,0.0,-10.5,-14.7,72,24.2,1029.4,0
2004-02-21,0.0,-5.3,-20.0,63,13.4,1039.5,0
2004-02-22,0.0,-2.5,-15.3,64,25.5,1028.7,0
2004-02-23,0.0,1.1,-6.4,77,27.2,1015.8,0
2004-02-24,3.2,1.5,-1.5,89,23.5,1010.3,1
2004-02-25,2.7,-0.0,-2.7,89,14.5,1011.7,1
2004-02-26,0.4,1.9,-3.4,88,10.3,1010.9,1
2004-02-27,4.6,3.5,-3.9,96,17.7,1001.1,1
2004-02-28,5.9,3.9,-0.6,93,15.0,1002.4,1
2004-02-29,1.7,4.1,-0.5,98,18.8,1010.2,1
2004-03-01,0.0,2.2,-1.6,85,15.6,1014.6,0
2004-03-02,0.0,-0.3,-3.5,63,19.9,1019.7,0
2004-03-03,3.3,3.5,-2.5,70,23.6,1013.6,1
2004-03-04,1.0,-0.5,-5.3,80,19.6,1015.4,1
2004-03-05,0.1,-3.7,-8.8,73,24.1,1016.1,1
2004-03-06,0.0,-1.8,-11.6,73,22.2,1021.6,0
2004-03-07,0.0,1.6,-5.9,63,18.2,1026.7,0
2004-03-08,0.0,5.9,-7.8,64,15.7,1029.7,0
2004-03-09,0.0,5.4,-3.2,74,18.9,1030.5,0
2004-03-10,0.0,6.9,-1.3,71,23.8,1031.3,0
2004-03-11,0.0,1.9,-2.0,68,18.5,1034.3,0
2004-03-12,0.0,2.0,-2.8,62,11.8,1035.4,0
2004-03-13,0.0,6.1,-5.6,70,9.5,1036.6,0
2004-03-14,0.0,8.2,-2.6,78,14.3,1037.5,0
2004-03-15,0.2,5.4,0.5,82,16.8,1032.5,1
2004-03-16,0.3,9.1,0.6,84,13.6,1029.6,1
2004-03-17,1.8,8.6,3.8,90,18.2,1021.5,1
2004-03-18,1.8,10.8,1.2,91,18.9,1023.2,1
2004-03-19,0.5,11.1,3.3,80,18.7,1020.3,1
2004-03-20,3.2,18.0,5.5,84,19.1,1010.2,1
2004-03-21,5.9,13.9,5.0,86,28.1,1002.4,1
2004-03-22,0.0,10.9,5.1,72,24.5,1007.4,0
2004-03-23,0.0,13.5,-0.2,75,12.3,1017.5,0
2004-03-24,0.0,14.3,5.0,74,22.1,1012.9,0
2004-03-25,3.8,13.7,6.3,79,20.5,1001.5,1
2004-03-26,1.9,12.4,2.7,82,21.3,999.8,1
2004-03-27,4.1,9.3,2.8,85,20.8,1008.2,1
2004-03-28,5.5,7.3,4.1,91,8.5,1011.8,1
2004-03-29,2.3,7.8,2.9,81,19.7,1017.0,1
2004-03-30,0.6,8.6,2.4,76,15.1,1023.6,1
2004-03-31,0.0,9.8,3.5,70,19.6,1021.4,0
2004-04-01,0.2,8.4,-0.3,63,27.3,1016.7,1
2004-04-02,0.0,-0.1,-3.9,41,28.4,1026.3,0
2004-04-03,0.0,1.3,-4.0,50,20.5,1031.1,0
2004-04-04,0.0,6.8,-4.7,58,12.4,1026.8,0
2004-04-05,0.0,13.2,-2.5,71,9.4,1014.0,0
2004-04-06,1.0,13.3,1.0,83,16.3,1006.1,1
2004-04-07,0.7,14.8,3.8,73,14.3,1006.2,1
2004-04-08,8.6,14.3,5.4,87,18.0,1004.6,1
2004-04-09,0.8,12.5,2.8,63,30.8,1010.0,1
2004-04-10,0.0,12.1,2.9,67,16.3,1012.5,0
2004-04-11,0.2,11.9,2.5,81,8.8,1014.8,1
2004-04-12,5.8,11.0,6.1,84,14.2,1015.4,1
2004-04-13,0.0,10.6,0.6,66,8.8,1019.6,0
2004-04-14,0.0,10.2,1.6,57,21.1,1020.5,0
2004-04-15,0.0,12.7,-0.7,64,14.7,1026.7,0
2004-04-16,0.0,15.8,4.2,61,16.2,1022.7,0
2004-04-17,0.0,13.6,5.5,65,14.9,1018.6,0
2004-04-18,0.0,13.6,4.6,56,22.0,1015.3,0
2004-04-19,0.0,13.6,5.3,57,22.1,1013.8,0
2004-04-20,0.0,15.8,5.6,58,21.0,1016.0,0
2004-04-21,0.0,16.3,5.5,62,10.8,1019.5,0
2004-04-22,0.0,16.7,7.0,58,8.6,1015.0,0
2004-04-23,1.8,15.0,9.0,67,9.2,1011.2,1
2004-04-24,0.6,17.6,5.5,75,9.6,1015.0,1
2004-04-25,0.7,18.8,6.3,73,13.2,1015.9,1
2004-04-26,2.2,12.4,4.4,73,28.1,1015.4,1
2004-04-27,0.0,13.1,4.1,58,23.1,1020.3,0
2004-04-28,0.0,13.5,1.4,62,10.0,1018.9,0
2004-04-29,0.0,15.1,2.6,61,9.2,1014.5,0
2004-04-30,0.3,14.7,6.2,69,14.0,1012.5,1
2004-05-01,0.0,14.1,4.5,69,14.4,1014.5,0
2004-05-02,5.6,17.9,3.9,61,17.3,1014.2,1
2004-05-03,2.2,21.5,9.0,64,17.3,1011.6,1
2004-05-04,0.0,20.9,11.6,55,18.1,1012.5,0
2004-05-05,0.0,22.1,11.8,54,28.4,1011.0,0
2004-05-06,9.6,17.2,12.7,72,34.9,1005.3,1
2004-05-07,3.6,14.3,12.2,93,22.1,999.9,1
2004-05-08,7.0,15.2,10.4,84,23.2,1002.0,1
2004-05-09,0.2,18.7,7.7,65,22.4,1005.3,1
2004-05-10,0.1,16.2,6.6,73,14.6,1007.6,1
2004-05-11,0.0,18.3,7.4,78,13.5,1006.3,0
2004-05-12,0.0,15.3,10.5,74,26.4,1006.4,0
2004-05-13,0.0,11.7,9.2,69,16.8,1009.5,0
2004-05-14,0.0,12.4,7.4,57,18.9,1015.4,0
2004-05-15,0.0,11.9,2.8,57,8.9,1020.6,0
2004-05-16,0.1,15.8,7.2,56,12.1,1014.8,1
2004-05-17,1.3,13.1,7.3,74,21.5,1016.1,1
2004-05-18,0.0,13.8,5.5,55,14.2,1019.1,0
2004-05-19,0.9,16.3,8.0,57,20.6,1011.7,1
2004-05-20,0.2,16.2,10.3,55,32.5,1007.4,1
2004-05-21,0.0,15.8,8.1,54,22.2,1013.6,0
2004-05-22,5.6,17.5,9.7,75,14.5,1009.3,1
2004-05-23,0.0,14.4,9.8,70,16.6,1011.3,0
2004-05-24,3.8,13.3,8.5,72,11.8,1011.8,1
2004-05-25,3.1,12.6,7.6,73,19.2,1013.2,1
2004-05-26,1.4,16.5,7.9,69,22.0,1014.2,1
2004-05-27,1.8,20.7,8.0,67,23.4,1019.5,1
2004-05-28,1.9,18.6,10.1,73,8.9,1024.2,1
2004-05-29,0.0,20.8,10.4,67,11.0,1024.5,0
2004-05-30,0.4,20.3,11.4,69,23.0,1019.5,1
2004-05-31,0.9,20.1,13.7,70,28.7,1014.6,1
2004-06-01,0.0,19.7,12.0,53,20.0,1016.1,0
2004-06-02,0.0,18.3,10.0,55,17.4,1018.7,0
2004-06-03,0.0,18.5,10.2,50,15.5,1021.7,0
2004-06-04,0.0,20.0,9.5,54,8.3,1021.9,0
2004-06-05,0.0,21.1,11.1,52,16.7,1019.2,0
2004-06-06,0.0,21.9,11.7,56,15.8,1016.8,0
2004-06-07,0.0,23.7,11.0,54,9.3,1015.7,0
2004-06-08,0.0,23.7,15.1,57,14.6,1014.0,0
2004-06-09,0.2,17.9,12.6,51,32.4,1012.9,1
2004-06-10,0.0,18.0,9.8,43,25.3,1017.2,0
2004-06-11,0.3,21.3,10.4,48,14.3,1014.1,1
2004-06-12,0.1,24.9,10.7,56,15.5,1011.7,1
2004-06-13,0.0,22.8,14.7,58,17.1,1014.2,0
2004-06-14,0.0,19.5,13.3,54,20.9,1017.3,0
2004-06-15,0.0,19.4,15.9,58,27.8,1007.4,0
2004-06-16,4.9,20.1,12.9,66,23.7,1001.5,1
2004-06-17,0.0,16.9,10.4,47,29.4,1008.1,0
2004-06-18,0.0,22.9,10.4,50,22.8,1007.2,0
2004-06-19,8.6,20.9,14.7,70,15.1,1006.6,1
2004-06-20,0.0,25.2,12.7,68,13.0,1010.6,0
2004-06-21,0.0,27.4,15.8,57,15.5,1011.9,0
2004-06-22,0.0,22.7,17.3,63,20.8,1015.6,0
2004-06-23,0.0,22.6,14.2,58,19.5,1015.6,0
2004-06-24,0.0,26.0,14.0,57,13.8,1011.1,0
2004-06-25,0.0,26.6,15.4,61,12.6,1011.0,0
2004-06-26,1.8,26.5,15.7,66,24.7,1012.7,1
2004-06-27,1.0,20.3,13.3,64,21.2,1015.7,1
2004-06-28,0.1,20.7,13.1,64,15.9,1014.5,1
2004-06-29,5.4,20.2,12.9,73,17.3,1012.4,1
2004-06-30,0.0,20.1,12.1,62,16.3,1012.9,0
2004-07-01,0.2,20.7,11.2,64,15.9,1013.9,1
2004-07-02,1.8,24.7,11.5,61,13.0,1012.4,1
2004-07-03,3.3,20.7,15.4,72,11.8,1012.4,1
2004-07-04,2.4,22.4,13.2,68,22.7,1015.2,1
2004-07-05,0.0,23.3,13.7,59,15.7,1017.7,0
2004-07-06,8.4,23.2,15.8,73,13.1,1015.4,1
2004-07-07,2.7,22.3,15.5,67,19.4,1018.8,1
2004-07-08,0.0,22.5,12.7,60,9.0,1021.1,0
2004-07-09,0.0,25.5,14.4,56,12.6,1017.1,0
2004-07-10,15.3,26.2,17.4,78,17.4,1010.8,1
2004-07-11,14.4,22.9,17.2,83,13.9,1005.9,1
2004-07-12,4.1,23.3,14.1,71,8.4,1005.0,1
2004-07-13,0.0,21.2,13.6,71,13.0,1006.7,0
2004-07-14,23.7,17.6,14.8,80,27.5,1003.2,1
2004-07-15,15.7,14.8,12.5,90,31.2,1001.6,1
